id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,Yearly_availability,host_type
10724792,Manhattan,Midtown,40.75279,-73.97251,Entire home/apt,129,30,4,0.11,12,328,professional
6006661,Queens,Jackson Heights,40.74936,-73.88698,Entire home/apt,90,7,2,0.04,1,0,single
27389930,Manhattan,Upper West Side,40.77095,-73.98626,Entire home/apt,220,30,0,,65,364,professional
18999626,Manhattan,Hell's Kitchen,40.76199,-73.98758,Private room,200,3,1,1.0,1,8,single
6225974,Brooklyn,Williamsburg,40.714,-73.96253,Private room,71,2,162,3.18,3,332,casual
25290749,Manhattan,Hell's Kitchen,40.76235,-73.98759,Entire home/apt,175,4,7,0.52,1,0,single
11587997,Manhattan,Lower East Side,40.71303,-73.98645,Private room,52,1,0,,1,0,single
9652365,Brooklyn,Greenpoint,40.73419,-73.95905,Private room,115,5,24,0.56,2,179,casual
1189378,Manhattan,Tribeca,40.71976,-74.00571,Entire home/apt,285,2,124,1.7,1,131,single
15261309,Brooklyn,Sunset Park,40.66198,-73.98964,Private room,90,2,0,,1,0,single
14215652,Manhattan,West Village,40.73624,-74.00311,Entire home/apt,290,3,59,1.67,1,256,single
32593295,Manhattan,Upper East Side,40.78609,-73.95341,Entire home/apt,225,3,0,,1,166,single
9880495,Manhattan,Midtown,40.76555,-73.98224,Entire home/apt,239,30,0,,121,351,professional
30536585,Brooklyn,Crown Heights,40.67441,-73.95235,Private room,80,2,10,1.57,4,2,casual
77765,Brooklyn,Greenpoint,40.73749,-73.95292,Private room,179,3,36,0.36,28,79,professional
12827921,Manhattan,Lower East Side,40.71902,-73.98506,Private room,90,1,6,0.16,1,0,single
639781,Manhattan,East Village,40.72389,-73.98934,Entire home/apt,200,6,1,0.16,1,128,single
21562330,Brooklyn,Crown Heights,40.67254,-73.95541,Private room,94,1,9,0.46,1,0,single
17512883,Manhattan,Murray Hill,40.74919,-73.97244,Entire home/apt,135,30,0,,23,365,professional
19439790,Manhattan,Chelsea,40.74379,-73.99433,Entire home/apt,189,2,7,0.3,1,0,single
30014743,Manhattan,East Village,40.7288,-73.98058,Entire home/apt,200,2,6,0.95,1,7,single
35227165,Brooklyn,Williamsburg,40.71534,-73.95692,Entire home/apt,225,1,2,2.0,1,71,single
12813068,Brooklyn,Bedford-Stuyvesant,40.68552,-73.9227,Private room,60,1,104,2.68,3,293,casual
3331279,Brooklyn,Bedford-Stuyvesant,40.6851,-73.95655,Entire home/apt,215,4,14,0.23,1,0,single
9692205,Manhattan,East Village,40.72636,-73.98231,Private room,70,4,2,0.05,1,0,single
29733220,Manhattan,Upper East Side,40.77828,-73.95492,Private room,275,1,0,,1,0,single
11474664,Queens,Ozone Park,40.68165,-73.84558,Entire home/apt,120,4,70,1.76,4,51,casual
2447868,Manhattan,Morningside Heights,40.8049,-73.96315,Entire home/apt,60,14,12,0.19,1,0,single
14011318,Brooklyn,Bedford-Stuyvesant,40.68639,-73.93116,Private room,50,2,22,0.63,1,8,single
14011728,Brooklyn,Bedford-Stuyvesant,40.68129,-73.9487,Entire home/apt,100,2,1,0.03,1,0,single
502429,Brooklyn,South Slope,40.66153,-73.98554,Entire home/apt,325,3,116,1.37,1,203,single
32062178,Bronx,Throgs Neck,40.83108,-73.82951,Private room,50,1,11,2.41,5,365,casual
27471933,Queens,Rockaway Beach,40.58754,-73.81296,Private room,53,1,14,1.3,1,357,single
35716310,Manhattan,East Harlem,40.80935,-73.93812,Private room,270,1,3,3.0,1,30,single
30441795,Manhattan,Upper East Side,40.77566,-73.94747,Private room,100,1,6,1.02,2,0,casual
25074008,Brooklyn,Crown Heights,40.67208,-73.94071,Private room,52,1,2,0.16,1,0,single
20148004,Brooklyn,Bedford-Stuyvesant,40.68705,-73.92606,Private room,45,5,2,0.09,1,0,single
32240873,Manhattan,Financial District,40.70796,-74.01206,Entire home/apt,196,2,9,2.48,327,318,professional
8459687,Brooklyn,Park Slope,40.67307,-73.97235,Entire home/apt,95,1,1,0.03,1,0,single
18569422,Brooklyn,Crown Heights,40.67101,-73.94543,Private room,70,2,52,1.99,2,0,casual
20762692,Manhattan,Harlem,40.8055,-73.95478,Entire home/apt,125,6,8,0.36,1,0,single
26893966,Manhattan,West Village,40.73162,-74.00228,Entire home/apt,300,2,22,3.11,1,168,single
6328175,Manhattan,Morningside Heights,40.80692,-73.96434,Entire home/apt,120,4,2,0.04,1,0,single
29855524,Brooklyn,Bushwick,40.68847,-73.91989,Private room,70,4,1,0.13,1,342,single
13529498,Brooklyn,Bushwick,40.70364,-73.92769,Private room,50,7,0,,1,0,single
19313483,Manhattan,Upper East Side,40.76892,-73.96906,Private room,115,1,56,3.03,1,325,single
21973631,Brooklyn,Crown Heights,40.67504,-73.93956,Private room,50,30,0,,1,113,single
10035706,Brooklyn,Bedford-Stuyvesant,40.69676,-73.93705,Private room,42,10,0,,1,0,single
35197041,Brooklyn,Boerum Hill,40.68906,-73.98983,Entire home/apt,329,30,1,1.0,2,63,casual
34485289,Manhattan,SoHo,40.72353,-74.00409,Private room,100,1,0,,7,331,professional
10697652,Brooklyn,Bushwick,40.68696,-73.91382,Entire home/apt,75,2,179,4.47,1,123,single
33393883,Manhattan,Upper West Side,40.80273,-73.96386,Entire home/apt,300,1,4,1.4,1,4,single
31980005,Manhattan,Nolita,40.72157,-73.99432,Entire home/apt,199,30,0,,4,365,casual
20135361,Brooklyn,Downtown Brooklyn,40.69201,-73.98713,Entire home/apt,275,3,20,0.96,2,35,casual
35168463,Queens,Rosedale,40.68205,-73.72581,Private room,75,1,2,2.0,3,90,casual
21188555,Brooklyn,Bedford-Stuyvesant,40.69358,-73.93721,Private room,45,3,2,0.09,1,0,single
13468421,Queens,Kew Gardens,40.70789,-73.83333,Private room,150,1,0,,3,364,casual
3741945,Manhattan,Upper East Side,40.77707,-73.95652,Private room,71,3,55,1.03,5,156,casual
34208508,Manhattan,Hell's Kitchen,40.76241,-73.99606,Entire home/apt,182,29,0,,327,319,professional
18617060,Brooklyn,Bushwick,40.69055,-73.91599,Private room,30,1,0,,1,0,single
24139165,Brooklyn,Williamsburg,40.71032,-73.94806,Entire home/apt,199,30,15,1.03,2,55,casual
23421363,Manhattan,Chelsea,40.73974,-73.99563,Private room,80,3,0,,1,0,single
7349633,Manhattan,East Village,40.72492,-73.97914,Private room,80,6,1,0.02,1,0,single
23642287,Brooklyn,Crown Heights,40.67186,-73.93684,Entire home/apt,77,6,15,0.94,1,32,single
25165611,Brooklyn,Bedford-Stuyvesant,40.69317,-73.93003,Private room,45,1,42,3.19,3,106,casual
6225968,Manhattan,Harlem,40.82337,-73.94529,Entire home/apt,155,5,22,0.44,1,362,single
11339109,Brooklyn,Williamsburg,40.71175,-73.96728,Entire home/apt,225,1,6,0.28,1,89,single
28668879,Brooklyn,Flatbush,40.65458,-73.95677,Entire home/apt,80,5,3,0.33,1,0,single
3544899,Brooklyn,East Flatbush,40.66123,-73.93428,Entire home/apt,85,3,37,0.62,1,310,single
6018325,Manhattan,Washington Heights,40.84245,-73.93918,Entire home/apt,140,30,8,0.17,34,312,professional
4841843,Brooklyn,Bushwick,40.69091,-73.91402,Private room,49,4,19,0.35,2,0,casual
6869940,Queens,Astoria,40.77199,-73.93159,Private room,55,15,1,0.02,2,0,casual
289958,Queens,Long Island City,40.75295,-73.93228,Private room,65,2,5,0.06,1,362,single
28632837,Queens,Astoria,40.76655,-73.92463,Private room,51,30,0,,103,216,professional
24103912,Queens,Woodside,40.74267,-73.90354,Private room,41,30,1,0.1,37,1,professional
8907184,Brooklyn,Williamsburg,40.72227,-73.95788,Entire home/apt,259,2,222,4.9,1,250,single
11944718,Manhattan,East Harlem,40.79665,-73.94928,Private room,69,7,7,0.18,1,0,single
12972040,Manhattan,Murray Hill,40.74933,-73.97937,Private room,110,1,31,0.81,2,189,casual
19731249,Brooklyn,Williamsburg,40.70635,-73.93588,Entire home/apt,150,3,6,0.25,1,0,single
36312602,Brooklyn,Windsor Terrace,40.64921,-73.97971,Entire home/apt,100,1,0,,2,11,casual
29339310,Brooklyn,East New York,40.66957,-73.86585,Entire home/apt,300,1,12,1.49,1,175,single
14854453,Manhattan,Upper East Side,40.77819,-73.94597,Private room,49,25,5,0.15,10,284,professional
6328046,Manhattan,Upper West Side,40.79466,-73.96623,Entire home/apt,141,7,4,0.16,1,0,single
29782186,Brooklyn,Crown Heights,40.66531,-73.93267,Private room,100,4,0,,1,0,single
32467835,Manhattan,Harlem,40.8242,-73.95106,Entire home/apt,112,30,0,,1,365,single
13254260,Brooklyn,Crown Heights,40.66741,-73.9522,Private room,36,12,2,0.09,1,0,single
35465343,Brooklyn,Bedford-Stuyvesant,40.6815,-73.93408,Entire home/apt,85,28,0,,1,74,single
28938342,Brooklyn,Bushwick,40.69404,-73.92432,Private room,70,3,45,4.93,2,146,casual
13915699,Brooklyn,Midwood,40.62803,-73.9675,Entire home/apt,75,3,6,0.17,1,0,single
32239039,Manhattan,Financial District,40.70775,-74.0105,Entire home/apt,215,2,9,2.31,327,313,professional
27316669,Bronx,Highbridge,40.83454,-73.92751,Private room,10,1,0,,1,180,single
35175500,Manhattan,Hell's Kitchen,40.75518,-73.99904,Entire home/apt,210,3,2,1.58,1,73,single
6355217,Brooklyn,Flatlands,40.62276,-73.93289,Entire home/apt,65,14,1,0.02,1,0,single
23990868,Brooklyn,Bedford-Stuyvesant,40.69336,-73.94453,Entire home/apt,88,2,8,0.56,1,18,single
32845131,Manhattan,East Harlem,40.79368,-73.94294,Private room,75,2,3,0.89,1,0,single
10724373,Manhattan,Gramercy,40.73804,-73.9852,Entire home/apt,110,1,3,0.07,1,0,single
28136026,Brooklyn,Cypress Hills,40.68217,-73.8723,Shared room,25,1,25,2.52,6,2,professional
32759322,Manhattan,East Harlem,40.79359,-73.9407,Private room,65,2,2,2.0,1,125,single
34805393,Manhattan,Lower East Side,40.71255,-73.99147,Entire home/apt,200,2,4,4.0,1,233,single
31283569,Manhattan,Washington Heights,40.85547,-73.92912,Private room,33,3,1,0.17,1,0,single
19583985,Brooklyn,Bushwick,40.68652,-73.91365,Private room,50,1,0,,26,365,professional
9847917,Manhattan,East Village,40.72608,-73.97843,Private room,60,2,1,0.02,1,0,single
17875002,Manhattan,East Village,40.73057,-73.986,Private room,125,2,21,0.77,2,329,casual
9876971,Brooklyn,Williamsburg,40.71947,-73.95677,Entire home/apt,219,30,3,0.09,3,36,casual
7593263,Brooklyn,Bushwick,40.68902,-73.9156,Entire home/apt,85,2,172,3.6,5,136,casual
1326566,Brooklyn,South Slope,40.66701,-73.98703,Private room,78,3,24,0.33,3,28,casual
16156753,Queens,Forest Hills,40.71746,-73.85667,Private room,60,1,0,,1,0,single
99085,Brooklyn,Fort Greene,40.68795,-73.97332,Entire home/apt,123,30,15,0.15,1,189,single
15813993,Manhattan,Chinatown,40.7152,-73.99947,Entire home/apt,159,6,39,1.31,1,351,single
19017429,Manhattan,Harlem,40.82634,-73.95061,Private room,80,1,18,0.75,1,179,single
7692701,Manhattan,Harlem,40.80591,-73.95525,Private room,75,14,0,,1,0,single
30338113,Brooklyn,Bedford-Stuyvesant,40.67878,-73.94094,Entire home/apt,225,2,4,0.62,1,0,single
24199249,Manhattan,East Village,40.73045,-73.98067,Private room,115,1,37,2.55,1,128,single
6303109,Brooklyn,Cobble Hill,40.68749,-73.99899,Entire home/apt,100,60,2,0.04,1,0,single
16288234,Brooklyn,Bedford-Stuyvesant,40.68369,-73.94193,Private room,40,7,0,,1,0,single
22811519,Queens,Middle Village,40.71131,-73.87376,Entire home/apt,100,1,44,4.33,1,264,single
33446373,Brooklyn,Greenpoint,40.73354,-73.95719,Private room,65,1,1,0.35,1,0,single
20218990,Queens,East Elmhurst,40.75482,-73.89369,Entire home/apt,118,2,119,5.2,1,87,single
6288004,Manhattan,Two Bridges,40.71063,-73.99526,Private room,90,10,133,2.64,1,81,single
29797522,Queens,Corona,40.74419,-73.85861,Private room,110,1,1,0.16,1,357,single
33917759,Manhattan,Harlem,40.80332,-73.94853,Private room,95,1,11,4.58,2,256,casual
21772258,Brooklyn,Park Slope,40.67329,-73.98311,Entire home/apt,125,3,2,0.1,1,0,single
26784985,Brooklyn,Red Hook,40.67856,-74.01584,Entire home/apt,100,3,17,1.42,1,6,single
22634088,Brooklyn,Gravesend,40.58876,-73.97349,Private room,39,3,20,1.29,1,324,single
8043824,Brooklyn,Williamsburg,40.71693,-73.94477,Entire home/apt,149,1,7,0.15,1,0,single
8052159,Manhattan,East Village,40.72351,-73.98288,Entire home/apt,110,4,6,0.13,1,0,single
30961345,Manhattan,Upper East Side,40.78228,-73.94715,Entire home/apt,130,1,4,0.63,1,0,single
36311694,Queens,Maspeth,40.73283,-73.8892,Private room,60,1,0,,3,90,casual
14091525,Brooklyn,Kensington,40.64023,-73.9717,Private room,30,2,1,0.03,1,0,single
19306176,Manhattan,Morningside Heights,40.81454,-73.96102,Private room,60,2,4,0.24,1,0,single
28893129,Queens,Forest Hills,40.72133,-73.83928,Private room,58,2,35,3.85,5,235,casual
35220970,Manhattan,Midtown,40.75258,-73.99311,Private room,90,1,9,7.11,1,0,single
12318604,Manhattan,Upper East Side,40.77398,-73.94607,Private room,42,31,0,,1,0,single
6912211,Brooklyn,Bedford-Stuyvesant,40.68402,-73.95573,Entire home/apt,122,3,101,2.08,2,293,casual
27609355,Brooklyn,Bedford-Stuyvesant,40.68977,-73.92723,Private room,37,30,0,,5,214,casual
30148490,Brooklyn,Navy Yard,40.70159,-73.9801,Private room,50,6,1,0.15,1,0,single
28984202,Brooklyn,Williamsburg,40.70813,-73.94707,Private room,55,10,1,0.14,1,48,single
4574225,Manhattan,East Harlem,40.78617,-73.94421,Private room,60,30,2,0.04,9,312,professional
32527460,Brooklyn,Williamsburg,40.70927,-73.94684,Private room,75,1,2,0.44,2,151,casual
18794627,Brooklyn,Williamsburg,40.71258,-73.96341,Private room,50,2,6,0.24,1,2,single
30570449,Brooklyn,Bedford-Stuyvesant,40.68598,-73.95735,Private room,45,15,3,0.42,11,331,professional
7919372,Brooklyn,Crown Heights,40.67568,-73.95124,Private room,75,1,38,1.12,7,322,professional
33528562,Bronx,Wakefield,40.88491,-73.85484,Private room,33,1,0,,1,116,single
26713367,Manhattan,East Village,40.72382,-73.97683,Private room,110,2,7,0.79,1,89,single
7328260,Manhattan,Washington Heights,40.83769,-73.94207,Private room,40,7,12,0.27,1,48,single
1975069,Manhattan,Greenwich Village,40.72796,-73.99761,Private room,150,2,7,0.12,1,0,single
1598785,Manhattan,Midtown,40.7529,-73.97094,Entire home/apt,175,5,116,1.65,1,299,single
14262420,Brooklyn,Crown Heights,40.67652,-73.94859,Entire home/apt,80,7,0,,1,0,single
29429036,Manhattan,Upper East Side,40.76877,-73.95479,Private room,110,7,1,0.14,1,365,single
33945711,Brooklyn,Bushwick,40.6991,-73.92917,Entire home/apt,249,6,4,1.97,2,177,casual
32528660,Manhattan,Hell's Kitchen,40.76063,-73.99863,Entire home/apt,295,3,2,0.52,2,2,casual
32544013,Brooklyn,Bushwick,40.6994,-73.92607,Private room,70,5,6,1.57,2,99,casual
30294243,Brooklyn,Williamsburg,40.71069,-73.94106,Private room,100,5,8,1.21,1,0,single
34418130,Manhattan,Lower East Side,40.71977,-73.98423,Private room,128,1,0,,2,365,casual
